Category,Metric,Value
voting,voters,10
voting,avgGas,72440
voting,minGas,69658
voting,maxGas,97483
voting,totalGas,724405
voting,blocks,20
voting,voters,50
voting,avgGas,70214
voting,minGas,69658
voting,maxGas,97483
voting,totalGas,3510725
voting,blocks,100
voting,voters,100
voting,avgGas,69936
voting,minGas,69658
voting,maxGas,97483
voting,totalGas,6993625
voting,blocks,200
voting,voters,500
voting,avgGas,69713
voting,minGas,69658
voting,maxGas,97483
voting,totalGas,34856825
voting,blocks,1000
voting,voters,1000
voting,avgGas,69685
voting,minGas,69658
voting,maxGas,97483
voting,totalGas,69685825
voting,blocks,2000
execution,operation,store
execution,queueGas,125868
execution,executeGas,133188
execution,totalGas,259056
execution,blockUtilization,0.44%
execution,fitsInBlock,✓
execution,operation,batchStore (5 calls)
execution,queueGas,N/A
execution,executeGas,155171
execution,totalGas,155171
execution,blockUtilization,0.52%
execution,fitsInBlock,✓
queries,test,state()
queries,proposalCount,100
queries,avgGas,32281
queries,minGas,32259
queries,maxGas,32283
queries,test,proposalVotes()
queries,proposalCount,10
queries,avgGas,28370
queries,minGas,28360
queries,maxGas,28372
storage,checkpoints,100
storage,gas,40490
storage,checkpoints,200
storage,gas,40477
storage,checkpoints,300
storage,gas,40490
storage,checkpoints,400
storage,gas,40490
storage,checkpoints,500
storage,gas,40477
storage,checkpoints,600
storage,gas,40490
storage,checkpoints,700
storage,gas,40490
storage,checkpoints,800
storage,gas,40490
storage,checkpoints,900
storage,gas,40477
blockUtilization,test,500 voters
blockUtilization,blocksUsed,2
blockUtilization,avgVotesPerBlock,250
blockUtilization,estimatedTime,24s (0m 24s)
throughput,daoSize,100
throughput,votesPerBlock,307
throughput,blocksNeeded,1
throughput,timeEstimate,0m 12s
throughput,gasPerVote,97483
throughput,daoSize,500
throughput,votesPerBlock,307
throughput,blocksNeeded,2
throughput,timeEstimate,0m 24s
throughput,gasPerVote,97483
throughput,daoSize,1000
throughput,votesPerBlock,307
throughput,blocksNeeded,4
throughput,timeEstimate,0m 48s
throughput,gasPerVote,97483
throughput,daoSize,5000
throughput,votesPerBlock,307
throughput,blocksNeeded,17
throughput,timeEstimate,3m 24s
throughput,gasPerVote,97483
throughput,daoSize,10000
throughput,votesPerBlock,307
throughput,blocksNeeded,33
throughput,timeEstimate,6m 36s
throughput,gasPerVote,97483
